name,calories,totalfat,carbs,protein
"Amaranth leaves, raw",23,0.3,4.02 ,2.46
"Barley, raw, pearled",352,1.2,77.72 ,9.91
"Polish sausae, pork",326,29,1.63 ,14.10
"Spices, curry powder",325,14,55.83 ,14.29
"Bacon bits, meatless",476,26,28.60 ,32.00
"Semolina, unenriched",360,1.1,72.83 ,12.68
"rape leaves, canned",69,2,11.71 ,4.27
"Spices, round, sae",315,13,60.73 ,10.63
"PACE, Red Taco Sauce",50,0,12.50 ,0.00
"DENNY'S, hash browns",197,9,26.59 ,2.49
"DENNY'S, onion rins",385,22,41.05 ,5.29
"Ostrich, raw, oyster",125,3.7,0.00 ,21.55
"Oil, corn and canola",884,100,0.00 ,0.00
"Pumpkin flowers, raw",15,0.1,3.28 ,1.03
"Celery flakes, dried",319,2.1,63.70 ,11.30
"Crackers, e, matzo",391,2.1,78.60 ,12.30
"Loanberries, frozen",55,0.3,13.02 ,1.52
"Tanerine juice, raw",43,0.2,10.10 ,0.50
"Soybeans, raw, reen",147,6.8,11.05 ,12.95
"Soybean, curd cheese",151,8.1,6.90 ,12.50
"ame meat, raw, bear",161,8.3,0.00 ,20.10
"ame meat, raw, deer",120,2.4,0.00 ,22.96
"Oranes, navels, raw",49,0.2,12.54 ,0.91
"Tostada shells, corn",474,23,64.43 ,6.15
"Fish, raw, swordfish",144,6.7,0.00 ,19.66
"Taro, raw, tahitian",44,1,6.91 ,2.79
"Chicory reens, raw",23,0.3,4.70 ,1.70
"Hearts of palm, raw",115,0.2,25.61 ,2.70
"Chayote, raw, fruit",19,0.1,4.51 ,0.82
"Fish, smoked, cisco",177,12,0.00 ,16.36
"Frankfurter, turkey",223,17,3.81 ,12.23
"Candies, jellybeans",375,0.1,93.55 ,0.00
"Oil, ucuhuba butter",884,100,0.00 ,0.00
Soy protein isolate,335,3.4,0.00 ,88.32
"Syrups, liht, corn",283,0.2,76.79 ,0.00
"Fish, raw, milkfish",148,6.7,0.00 ,20.53
"Fish, raw, monkfish",76,1.5,0.00 ,14.48
"Mother's loaf, pork",282,22,7.53 ,12.07
"Tapioca, dry, pearl",358,0,88.69 ,0.19
"uavas, raw, common",68,1,14.32 ,2.55
"Spices, celery seed",392,25,41.35 ,18.07
"Candies, peanut bar",522,34,47.40 ,15.50
"Bread, toasted, rye",284,3.6,53.10 ,9.40
"Oil, apricot kernel",884,100,0.00 ,0.00
"Candies, YORK BITES",394,7.3,81.64 ,1.78
"Meatballs, meatless",197,9,8.00 ,21.00
"Emu, raw, full rump",112,1.6,0.00 ,22.83
"Mustard reens, raw",27,0.4,4.67 ,2.86
"Seaweed, raw, laver",35,0.3,5.11 ,5.81
"Sweet rolls, cheese",360,18,43.70 ,7.10
"Fis, stewed, dried",107,0.4,27.57 ,1.42
"Bread sticks, plain",412,9.5,68.40 ,12.00
"SILK Mocha, soymilk",58,1.4,9.05 ,2.06
Milk and cereal bar,413,11,72.05 ,6.47
"Bread, pumpernickel",250,3.1,47.50 ,8.70
"ame meat, raw, elk",111,1.5,0.00 ,22.95
"PACE, Pico De allo",31,0,9.38 ,0.00
"Ostrich, raw, round",116,2.4,0.00 ,21.99
"HORMEL, Cure 81 Ham",106,3.6,0.21 ,18.43
"Prune juice, canned",71,0,17.45 ,0.61
"McDONALD'S, BI MAC",257,15,20.08 ,11.82
"Soy flour, defatted",327,1.2,33.92 ,51.46
"Bread, toasted, e",315,6.6,52.60 ,10.50
"Fish, raw, mahimahi",85,0.7,0.00 ,18.50
"Fish, raw, bluefish",124,4.2,0.00 ,20.04
"Spices, fennel seed",345,15,52.29 ,15.80
"Potatoes, skin, raw",58,0.1,12.44 ,2.57
"Pepper, raw, banana",27,0.5,5.35 ,1.66
"Drumstick pods, raw",37,0.2,8.53 ,2.10
"Toppins, pineapple",253,0.1,66.40 ,0.10
Acorn stew (Apache),95,3.5,9.22 ,6.81
"Tomatoes, sun-dried",258,3,55.76 ,14.11
"uava sauce, cooked",36,0.1,9.48 ,0.32
"Pumpkin leaves, raw",19,0.4,2.33 ,3.15
"Melons, raw, casaba",28,0.1,6.58 ,1.11
"Melon balls, frozen",33,0.3,7.94 ,0.84
"Fish oil, cod liver",902,100,0.00 ,0.00
"Nuts, dried, acorns",509,31,53.66 ,8.10
"Rolls, pumpernickel",276,2.8,51.87 ,10.80
"ravy, dry, chicken",381,9.7,62.09 ,11.27
"Fish, raw, tilefish",96,2.3,0.00 ,17.50
"Ice creams, vanilla",207,11,23.60 ,3.50
"SILK Plain, soymilk",41,1.7,3.29 ,2.88
"Cabbae, raw, savoy",27,0.1,6.10 ,2.00
"Fish, raw, tilapia",96,1.7,0.00 ,20.08
"Broccoli raab, raw",22,0.5,2.85 ,3.17
"Corn rain, yellow",365,4.7,74.26 ,9.42
"Turtle, raw, reen",89,0.5,0.00 ,19.80
"Chicory roots, raw",72,0.2,17.51 ,1.40
Ice cream sandwich,237,8.6,37.14 ,4.29
"Croutons, seasoned",465,18,63.50 ,10.80
"Snacks, taro chips",498,25,68.10 ,2.30
"Prickly pears, raw",41,0.5,9.57 ,0.73
"Fish, raw, haddock",74,0.5,0.00 ,16.32
"Liver cheese, pork",304,26,2.10 ,15.20
"round turkey, raw",148,7.7,0.00 ,19.66
Jams and preserves,278,0.1,68.86 ,0.37
"Carrots, raw, baby",35,0.1,8.24 ,0.64
"Oil, nutme butter",884,100,0.00 ,0.00
"Semolina, enriched",360,1.1,72.83 ,12.68
"Spices, anise seed",337,16,50.02 ,17.60
"Snacks, corn cakes",387,2.4,83.40 ,8.10
"Catsup, low sodium",101,0.1,27.40 ,1.04
"Croissants, cheese",414,21,47.00 ,9.20
"Milk, fluid, sheep",108,7,5.36 ,5.98
"Acerola juice, raw",23,0.3,4.80 ,0.40
"Jute, raw, potherb",34,0.3,5.80 ,4.65
"Fast food, biscuit",370,19,42.82 ,7.08
"Baels, multirain",241,1.2,47.47 ,9.90
"Beef, dried, cured",153,1.9,2.76 ,31.10
"Nuts, almond paste",458,28,47.81 ,9.00
"Seaweed, raw, kelp",43,0.6,9.57 ,1.68
"Seaweed, raw, aar",26,0,6.75 ,0.54
"Fish oil, menhaden",902,100,0.00 ,0.00
"Rolls, e, dinner",307,6.4,52.00 ,9.50
"Bread, white wheat",238,2.2,43.91 ,10.66
"Onions, raw, sweet",32,0.1,7.55 ,0.80
"Onions, raw, welsh",34,0.4,6.50 ,1.90
"SILK Chai, soymilk",53,1.4,7.82 ,2.47
"Rolls, rye, dinner",286,3.4,53.10 ,10.30
"ravy, dry, au jus",313,9.6,47.49 ,9.20
"Cheese, neufchatel",253,23,3.59 ,9.15
"Hummus, commercial",166,9.6,14.29 ,7.90
"Croissants, butter",406,21,45.80 ,8.20
"Carrot, dehydrated",341,1.5,79.57 ,8.10
"Vinear, distilled",18,0,0.04 ,0.00
"Sapote, raw, mamey",124,0.5,32.10 ,1.45
"Soy flour, low-fat",372,8.9,30.63 ,49.81
"Syrups, suar free",52,0,12.13 ,0.80
"Syrups, dark, corn",286,0,77.59 ,0.00
"Taco shells, baked",476,22,63.49 ,6.41
"Spices, cumin seed",375,22,44.24 ,17.81
"Bamboo shoots, raw",27,0.3,5.20 ,2.60
"Fish, raw, lincod",85,1.1,0.00 ,17.66
"Whey, dried, sweet",353,1.1,74.46 ,12.93
"Whey, fluid, sweet",27,0.4,5.14 ,0.85
"Spices, poppy seed",525,42,28.13 ,17.99
"Babyfood, pretzels",397,2,82.20 ,10.80
"Fat, mutton tallow",902,100,0.00 ,0.00
"Coffeecake, cheese",339,15,44.30 ,7.00
"Sauce, horseradish",503,51,10.05 ,1.09
"Yardlon bean, raw",47,0.4,8.35 ,2.80
"Cress, raw, arden",32,0.7,5.50 ,2.60
"Dates, delet noor",282,0.4,75.03 ,2.45
"Lambsquarters, raw",43,0.8,7.30 ,4.20
"ravy, dry, turkey",367,7.2,65.12 ,10.42
Vital wheat luten,370,1.9,13.79 ,75.16
"Turnip reens, raw",32,0.3,7.13 ,1.50
"Suars, ranulated",387,0,99.98 ,0.00
"Frankfurter, pork",269,24,0.28 ,12.81
"Pomeranates, raw",83,1.2,18.70 ,1.67
"Pears, raw, asian",42,0.2,10.65 ,0.50
"Cookies, molasses",430,13,73.80 ,5.60
"Cookies, fi bars",348,7.3,70.90 ,3.70
Liverwurst spread,305,25,5.89 ,12.38
Roast beef spread,223,16,3.73 ,15.27
"Chard, raw, swiss",19,0.2,3.74 ,1.80
"oose, raw, liver",133,4.3,6.32 ,16.37
"TACO BELL, Nachos",350,22,34.91 ,4.32
"Sausae, meatless",255,18,8.09 ,20.28
"Frankfurter, meat",290,26,4.17 ,10.26
"Rice flour, brown",363,2.8,76.48 ,7.23
"Peppermint, fresh",70,0.9,14.89 ,3.75
"Vinear, red wine",19,0,0.27 ,0.04
"Vinear, balsamic",88,0,17.03 ,0.49
"Luxury loaf, pork",141,4.8,4.90 ,18.40
"Rye flour, medium",349,1.5,75.43 ,10.88
"DENNY'S, coleslaw",183,15,10.88 ,0.97
"Bread, wheat bran",248,3.4,47.80 ,8.80
"Croissants, apple",254,8.7,37.10 ,7.40
"Candies, Tamarind",368,0,91.96 ,0.00
"Oheloberries, raw",28,0.2,6.84 ,0.38
"PACE, Salsa Verde",47,1.6,6.25 ,0.00
Barley malt flour,361,1.8,78.30 ,10.28
"Rice noodles, dry",364,0.6,80.18 ,5.95
"Fish oil, sardine",902,100,0.00 ,0.00
"Fish oil, herrin",902,100,0.00 ,0.00
"Plantains, cooked",116,0.2,31.15 ,0.79
"Burdock root, raw",72,0.2,17.34 ,1.53
"Butterbur, canned",3,0.1,0.38 ,0.11
"Ostrich, raw, fan",117,2.7,0.00 ,21.81
"SILK No, soymilk",74,1.6,12.30 ,2.46
"ravy, dry, brown",367,9.6,59.38 ,10.74
"Cheese, provolone",351,27,2.14 ,25.58
"Cheese, roquefort",369,31,2.00 ,21.54
"Muffins, oat bran",270,7.4,48.30 ,7.00
"Syrups, renadine",268,0,66.91 ,0.00
"Raisins, seedless",299,0.5,79.18 ,3.07
"Strawberries, raw",32,0.3,7.68 ,0.67
"Fish, raw, burbot",90,0.8,0.00 ,19.31
"Wheat erm, crude",360,9.7,51.80 ,23.15
"Wheat, hard white",342,1.7,75.90 ,11.31
"Wheat bran, crude",216,4.3,64.51 ,15.55
"ooseberries, raw",44,0.6,10.18 ,0.88
"Spices, dill seed",305,15,55.17 ,15.98
"Oil, cocoa butter",884,100,0.00 ,0.00
"APPLEBEE'S, chili",157,9.8,4.57 ,12.56
"rape leaves, raw",93,2.1,17.31 ,5.60
"Kale, raw, scotch",42,0.6,8.32 ,2.80
"Marmalade, orane",246,0,66.30 ,0.30
"Whey, dried, acid",339,0.5,73.45 ,11.73
"Whey, fluid, acid",24,0.1,5.12 ,0.76
"Eplant, pickled",49,0.7,9.77 ,0.90
"Babyfood, cookies",433,13,67.10 ,11.80
"Fennel, raw, bulb",31,0.2,7.30 ,1.24
"E, dried, whole",592,44,1.13 ,48.05
"Coffeecake, fruit",311,10,51.50 ,5.20
"Candies, caramels",382,8.1,77.00 ,4.60
"Sour cream, liht",136,11,7.10 ,3.50
"E, dried, white",382,0,7.80 ,81.10
"Wild rice, cooked",101,0.3,21.34 ,3.99
"Chicken, meatless",224,13,3.64 ,23.64
"Corn rain, white",365,4.7,74.26 ,9.42
"Veal, raw, round",197,13,0.00 ,18.58
"Wheat, soft white",340,2,75.36 ,10.69
"Elderberries, raw",73,0.5,18.40 ,0.66
"Nuts, raw, acorns",387,24,40.75 ,6.15
"Orane juice, raw",45,0.2,10.40 ,0.70
"POPEYES, Coleslaw",161,11,14.12 ,0.98
"Cabbae, raw, red",31,0.2,7.37 ,1.43
"Blackberries, raw",43,0.5,9.61 ,1.39
"Wasabi, raw, root",109,0.6,23.54 ,4.80
"Cheese, limburer",327,27,0.49 ,20.05
"Raspberries, raw",52,0.7,11.94 ,1.20
"Corn bran, crude",224,0.9,85.64 ,8.36
"Bread, rice bran",243,4.6,43.50 ,8.90
"Taro shoots, raw",11,0.1,2.32 ,0.92
"Suars, powdered",389,0,99.77 ,0.00
"Emu, raw, round",134,4,0.00 ,22.77
"Cookies, fortune",378,2.7,84.00 ,4.20
"Fish, raw, cisco",98,1.9,0.00 ,18.99
"Couscous, cooked",112,0.2,23.22 ,3.79
"Dill weed, fresh",43,1.1,7.02 ,3.46
"Spearmint, dried",285,6,52.04 ,19.93
"Spearmint, fresh",44,0.7,8.41 ,3.29
Tamales (Navajo),153,6.1,18.12 ,6.28
"Rice bran, crude",316,21,49.69 ,13.35
"Rye flour, liht",357,1.3,76.68 ,9.82
"Spices, bay leaf",313,8.4,74.97 ,7.61
"Spices, cardamom",311,6.7,68.47 ,10.76
"Lemon juice, raw",22,0.2,6.90 ,0.35
"iner root, raw",80,0.8,17.77 ,1.82
"Fish oil, salmon",902,100,0.00 ,0.00
"Fish, tuna salad",187,9.3,9.41 ,16.04
"Orane peel, raw",97,0.2,25.00 ,1.50
"Blueberries, raw",57,0.3,14.49 ,0.74
"Cheese, muenster",368,30,1.12 ,23.41
"Beet reens, raw",22,0.1,4.33 ,2.20
"Cheese, cheshire",387,31,4.78 ,23.37
"Baels, oat bran",255,1.2,53.30 ,10.70
"Fat, beef tallow",902,100,0.00 ,0.00
"Clementines, raw",47,0.2,12.02 ,0.85
"Peas, raw, reen",81,0.4,14.45 ,5.42
"Oat bran, cooked",40,0.9,11.44 ,3.21
"Pears, bosc, raw",67,0.1,16.10 ,0.36
"Suar, turbinado",399,0,99.80 ,0.00
"Headcheese, pork",157,11,0.00 ,13.83
Ham salad spread,216,16,10.64 ,8.68
"Olive loaf, pork",235,17,9.20 ,11.80
"Pastrami, turkey",139,6.2,3.34 ,16.30
"Cranberries, raw",46,0.1,11.97 ,0.46
"POPEYES, biscuit",401,24,40.95 ,6.00
"E, dried, yolk",669,59,0.66 ,33.63
"Quinoa, uncooked",368,6.1,64.16 ,14.12
"Emu, raw, oyster",141,4.9,0.00 ,22.81
"Rose-apples, raw",25,0.3,5.70 ,0.60
"Cheese, monterey",373,30,0.68 ,24.48
"Fish, raw, scup",105,2.7,0.00 ,18.88
"Cheese, cheddar",404,33,3.09 ,22.87
"Cheese, caraway",376,29,3.06 ,25.18
"Oil, wheat erm",884,100,0.00 ,0.00
"Bread, oat bran",236,4.4,39.80 ,10.40
"Watermelon, raw",30,0.2,7.55 ,0.61
Potato pancakes,268,15,27.81 ,6.08
Spinach souffle,172,13,5.90 ,7.89
"Bacon, meatless",309,30,5.31 ,11.69
"Rosemary, fresh",131,5.9,20.70 ,3.31
"Syrups, sorhum",290,0,74.90 ,0.00
"Rye flour, dark",325,2.2,68.63 ,15.91
"Oil, tomatoseed",884,100,0.00 ,0.00
"Croutons, plain",407,6.6,73.50 ,11.90
"Lemon peel, raw",47,0.3,16.00 ,1.50
"Spices, paprika",282,13,53.99 ,14.14
"Nectarines, raw",44,0.3,10.55 ,1.06
"Mulberries, raw",43,0.4,9.80 ,1.44
"Lotus root, raw",74,0.1,17.23 ,2.60
"Sauce, barbecue",172,0.6,40.77 ,0.82
"Fish, raw, spot",123,4.9,0.00 ,18.51
"Crabapples, raw",76,0.3,19.95 ,0.40
"Breadfruit, raw",103,0.2,27.12 ,1.07
Arrowroot flour,357,0.1,88.15 ,0.30
"Pimento, canned",23,0.3,5.10 ,1.10
"Tomatillos, raw",32,1,5.84 ,0.96
"Raisins, seeded",296,0.5,78.47 ,2.52
"Bolona, turkey",209,16,4.68 ,11.42
Vanilla extract,288,0.1,12.65 ,0.06
"Fish, raw, carp",127,5.6,0.00 ,17.83
"Wheat, sprouted",198,1.3,42.53 ,7.49
"Fish, raw, cusk",87,0.7,0.00 ,18.99
"Watercress, raw",11,0.1,1.29 ,2.30
"Fish, raw, lin",87,0.6,0.00 ,18.99
"Bread, cinnamon",253,5.3,44.38 ,7.05
"Spices, saffron",310,5.9,65.37 ,11.43
"Lime juice, raw",25,0.1,8.42 ,0.42
"Spelt, uncooked",338,2.4,70.19 ,14.57
"Cabbae, kimchi",15,0.5,2.40 ,1.10
"Seeds, flaxseed",534,42,28.88 ,18.29
"Cheese, ruyere",413,32,0.36 ,29.81
"Cheese, jetost",466,30,42.65 ,9.65
"Cheese, fontina",389,31,1.55 ,25.60
"Butter, salted",717,81,0.06 ,0.85
"Oil, rice bran",884,100,0.00 ,0.00
"Crackers, milk",446,14,71.73 ,7.60
"Dates, medjool",277,0.2,74.97 ,1.81
"Arrowroot, raw",65,0.2,13.39 ,4.24
"Bread, oatmeal",269,4.4,48.50 ,8.40
"Bread, italian",271,3.5,50.10 ,8.80
"Tamarinds, raw",239,0.6,62.50 ,2.80
"Millet, puffed",354,3.4,80.00 ,13.00
"Vinear, cider",21,0,0.93 ,0.00
"Scrapple, pork",213,14,14.06 ,8.06
"Oil, poppyseed",884,100,0.00 ,0.00
"Oil, rapeseed",884,100,0.00 ,0.00
"Lonans, dried",286,0.4,74.00 ,4.90
"Pectin, liquid",11,0,2.10 ,0.00
"Pretzels, soft",338,3.1,69.39 ,8.20
"Quinoa, cooked",120,1.9,21.30 ,4.40
"Plantains, raw",122,0.4,31.89 ,1.30
"Parsley, fresh",36,0.8,6.33 ,2.97
"Barley, hulled",354,2.3,73.48 ,12.48
"Cheese, romano",387,27,3.63 ,31.80
Dulce de Leche,315,7.4,55.35 ,6.84
"Radicchio, raw",23,0.3,4.48 ,1.43
"Bulur, cooked",83,0.2,18.58 ,3.08
"Tempeh, cooked",195,11,7.62 ,19.91
Chicken spread,158,18,4.05 ,18.01
"Millet, cooked",119,1,23.67 ,3.51
"Capers, canned",23,0.9,4.89 ,2.36
"Sapodilla, raw",83,1.1,19.96 ,0.44
"Wild rice, raw",357,1.1,74.90 ,14.73
"Arrowhead, raw",99,0.3,20.23 ,5.33
